epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1813.08,0.39415,0.345,0.94565,0.93944,0.8736,0.92077,0.76524,0.62431,0.51622,1.12752,0.000841835,0.000841835,0.000841835
102,1831.2,0.39252,0.34448,0.94356,0.95349,0.88813,0.93598,0.78078,0.58841,0.49451,1.08387,0.000833583,0.000833583,0.000833583
103,1848.43,0.38747,0.3298,0.94118,0.95002,0.90714,0.92897,0.77621,0.59396,0.50672,1.1146,0.000825332,0.000825332,0.000825332
104,1865.71,0.39879,0.35006,0.9431,0.95193,0.90499,0.93742,0.78793,0.58486,0.48656,1.07275,0.00081708,0.00081708,0.00081708
105,1884.04,0.40557,0.35083,0.94608,0.93988,0.87943,0.92241,0.77481,0.60844,0.52387,1.10173,0.000808828,0.000808828,0.000808828
106,1901.62,0.39798,0.34348,0.95015,0.95437,0.8783,0.91583,0.77149,0.57103,0.51998,1.07108,0.000800577,0.000800577,0.000800577
107,1919.09,0.39294,0.33777,0.94791,0.93451,0.87445,0.90752,0.75087,0.61823,0.5648,1.10363,0.000792325,0.000792325,0.000792325
108,1937.22,0.39985,0.34668,0.95038,0.91248,0.87077,0.90484,0.76978,0.60742,0.55466,1.09021,0.000784073,0.000784073,0.000784073
109,1954.59,0.38351,0.33938,0.93778,0.92963,0.87282,0.91099,0.75266,0.61543,0.54003,1.11317,0.000775822,0.000775822,0.000775822
110,1972.78,0.39568,0.33806,0.94755,0.95105,0.90224,0.9292,0.78518,0.593,0.51576,1.09222,0.00076757,0.00076757,0.00076757
111,1990.19,0.38516,0.32842,0.94374,0.94768,0.88945,0.92042,0.77808,0.61529,0.53714,1.10844,0.000759318,0.000759318,0.000759318
112,2007.5,0.38291,0.32959,0.94084,0.95666,0.88041,0.91826,0.77867,0.59939,0.53055,1.11539,0.000751067,0.000751067,0.000751067
113,2025.88,0.38787,0.32996,0.9427,0.93242,0.89133,0.91973,0.77466,0.61886,0.50616,1.1199,0.000742815,0.000742815,0.000742815
114,2043.39,0.37513,0.31949,0.93288,0.93562,0.89566,0.9336,0.79952,0.59174,0.51383,1.07919,0.000734564,0.000734564,0.000734564
115,2060.64,0.38353,0.32473,0.94224,0.92932,0.88876,0.92806,0.80517,0.55771,0.51306,1.04419,0.000726312,0.000726312,0.000726312
116,2078.96,0.3903,0.33268,0.93921,0.95107,0.88272,0.92027,0.75723,0.65638,0.53054,1.13581,0.00071806,0.00071806,0.00071806
117,2096.87,0.39211,0.32647,0.94147,0.93749,0.89021,0.92318,0.7732,0.61043,0.50432,1.10178,0.000709809,0.000709809,0.000709809
118,2115.07,0.37662,0.32449,0.93882,0.94175,0.8746,0.93022,0.7909,0.57716,0.5122,1.08172,0.000701557,0.000701557,0.000701557
119,2132.95,0.37092,0.32121,0.93752,0.92888,0.89676,0.91954,0.7743,0.57856,0.50134,1.08924,0.000693305,0.000693305,0.000693305
120,2150.44,0.37714,0.32117,0.93611,0.93062,0.89505,0.90644,0.7601,0.59823,0.52571,1.12466,0.000685054,0.000685054,0.000685054
121,2169.08,0.37464,0.31299,0.93216,0.95215,0.88577,0.92861,0.79129,0.5852,0.52628,1.09369,0.000676802,0.000676802,0.000676802
122,2186.77,0.37517,0.31942,0.93398,0.93922,0.91946,0.93363,0.80128,0.56936,0.50024,1.07585,0.00066855,0.00066855,0.00066855
123,2204.52,0.36708,0.31392,0.93081,0.94474,0.90423,0.92534,0.78759,0.55361,0.49148,1.06967,0.000660299,0.000660299,0.000660299
124,2223.04,0.36476,0.30903,0.93279,0.94188,0.88753,0.91663,0.80108,0.53913,0.46577,1.03822,0.000652047,0.000652047,0.000652047
125,2240.66,0.37537,0.31381,0.93261,0.94203,0.90141,0.92497,0.78859,0.56235,0.47881,1.08287,0.000643795,0.000643795,0.000643795
126,2259.18,0.37167,0.3199,0.93918,0.93582,0.91301,0.92778,0.77605,0.58775,0.47818,1.1106,0.000635544,0.000635544,0.000635544
127,2276.77,0.37173,0.31251,0.93589,0.966,0.89041,0.92859,0.80196,0.55464,0.47111,1.0607,0.000627292,0.000627292,0.000627292
128,2294.06,0.36734,0.30978,0.93103,0.96507,0.89147,0.92264,0.79073,0.57522,0.46782,1.08945,0.00061904,0.00061904,0.00061904
129,2312.57,0.37574,0.31569,0.93497,0.95615,0.8916,0.92904,0.80054,0.56556,0.48337,1.07844,0.000610789,0.000610789,0.000610789
130,2329.81,0.36543,0.31507,0.9328,0.96412,0.87712,0.93767,0.78867,0.59959,0.50073,1.10523,0.000602537,0.000602537,0.000602537
131,2347.15,0.3642,0.3176,0.93132,0.96524,0.86853,0.92719,0.78468,0.5778,0.51258,1.06603,0.000594286,0.000594286,0.000594286
132,2365.45,0.36537,0.30632,0.93734,0.95517,0.88735,0.91478,0.76483,0.59235,0.502,1.1031,0.000586034,0.000586034,0.000586034
133,2382.93,0.36136,0.30623,0.93518,0.96346,0.90206,0.92279,0.78238,0.58222,0.46394,1.11182,0.000577782,0.000577782,0.000577782
134,2400.76,0.36056,0.30081,0.92899,0.9156,0.90267,0.91939,0.78327,0.58045,0.49429,1.10474,0.000569531,0.000569531,0.000569531
135,2418.83,0.36142,0.30849,0.92776,0.92913,0.89551,0.91411,0.77725,0.58409,0.48929,1.10344,0.000561279,0.000561279,0.000561279
136,2436.04,0.35938,0.30107,0.93199,0.94324,0.89864,0.92018,0.80718,0.55734,0.47641,1.07701,0.000553027,0.000553027,0.000553027
137,2454.39,0.35859,0.30535,0.92861,0.93455,0.90131,0.92537,0.80763,0.52777,0.48302,1.03752,0.000544776,0.000544776,0.000544776
138,2471.62,0.35465,0.30499,0.92768,0.94462,0.87492,0.91541,0.78957,0.54204,0.47035,1.05142,0.000536524,0.000536524,0.000536524
139,2488.91,0.35323,0.29854,0.9256,0.95285,0.90022,0.91911,0.78227,0.58279,0.49277,1.10186,0.000528272,0.000528272,0.000528272
140,2507.58,0.35319,0.30295,0.92834,0.94558,0.89409,0.91601,0.77622,0.5705,0.48949,1.09608,0.000520021,0.000520021,0.000520021
141,2524.97,0.34442,0.28934,0.9239,0.95499,0.88333,0.91906,0.78185,0.57749,0.50423,1.08683,0.000511769,0.000511769,0.000511769
142,2542.4,0.34026,0.28265,0.91807,0.95092,0.88406,0.91947,0.79327,0.5707,0.48657,1.07426,0.000503517,0.000503517,0.000503517
143,2560.95,0.34789,0.28657,0.92371,0.95065,0.89706,0.93052,0.80093,0.54283,0.46411,1.0698,0.000495266,0.000495266,0.000495266
144,2578.29,0.34922,0.29221,0.92616,0.9497,0.90412,0.92708,0.80206,0.56757,0.47373,1.084,0.000487014,0.000487014,0.000487014
145,2595.43,0.34369,0.29024,0.92516,0.95229,0.87812,0.92802,0.79887,0.55446,0.46719,1.07813,0.000478762,0.000478762,0.000478762
146,2613.44,0.34231,0.2868,0.9246,0.95133,0.86958,0.91769,0.78308,0.5928,0.50429,1.1101,0.000470511,0.000470511,0.000470511
147,2630.62,0.34411,0.28465,0.92161,0.91872,0.9154,0.92919,0.78675,0.57421,0.48053,1.09255,0.000462259,0.000462259,0.000462259
148,2648.48,0.34788,0.2866,0.9299,0.9484,0.89566,0.92822,0.79578,0.5463,0.49459,1.04868,0.000454007,0.000454007,0.000454007
149,2666.08,0.34638,0.28362,0.92367,0.93642,0.8919,0.9237,0.79344,0.56475,0.47488,1.09303,0.000445756,0.000445756,0.000445756
150,2683.58,0.34473,0.29338,0.92271,0.93327,0.89544,0.91757,0.78535,0.56075,0.47819,1.0851,0.000437504,0.000437504,0.000437504
151,2701.98,0.34204,0.28976,0.92297,0.95119,0.8778,0.92065,0.78667,0.55325,0.48525,1.06357,0.000429253,0.000429253,0.000429253
152,2719.56,0.34288,0.27722,0.92356,0.95253,0.88813,0.92466,0.79411,0.56183,0.46315,1.0701,0.000421001,0.000421001,0.000421001
153,2736.87,0.33864,0.28565,0.92136,0.94529,0.87979,0.91886,0.80085,0.53104,0.44877,1.06601,0.000412749,0.000412749,0.000412749
154,2755.43,0.3355,0.27557,0.91729,0.96601,0.89566,0.9275,0.78809,0.54367,0.4703,1.06692,0.000404498,0.000404498,0.000404498
155,2772.66,0.33185,0.2769,0.92104,0.97006,0.90227,0.9309,0.79412,0.55705,0.47548,1.09132,0.000396246,0.000396246,0.000396246
156,2790.27,0.34099,0.27912,0.92212,0.96733,0.89854,0.92286,0.79246,0.54361,0.47682,1.07506,0.000387994,0.000387994,0.000387994
157,2808.98,0.3354,0.27945,0.91731,0.96619,0.87982,0.91849,0.79957,0.54077,0.464,1.08507,0.000379743,0.000379743,0.000379743
158,2826.72,0.32571,0.26943,0.9144,0.97196,0.86899,0.92946,0.81016,0.52402,0.4834,1.05168,0.000371491,0.000371491,0.000371491
159,2845.61,0.3253,0.26954,0.91559,0.95659,0.8937,0.92495,0.79546,0.55268,0.47621,1.07452,0.000363239,0.000363239,0.000363239
160,2863.61,0.33835,0.27783,0.92175,0.93995,0.89,0.91156,0.78285,0.54814,0.46397,1.08225,0.000354988,0.000354988,0.000354988
161,2881.7,0.33041,0.26933,0.91963,0.94377,0.88589,0.91407,0.78074,0.54197,0.46744,1.07641,0.000346736,0.000346736,0.000346736
162,2900.63,0.3309,0.27219,0.91808,0.93745,0.89531,0.91781,0.79113,0.53361,0.4501,1.06716,0.000338484,0.000338484,0.000338484
163,2918.49,0.33109,0.27409,0.91972,0.95518,0.88047,0.91863,0.78724,0.56106,0.46896,1.08449,0.000330233,0.000330233,0.000330233
164,2937.33,0.32923,0.26654,0.91474,0.95285,0.88347,0.90985,0.7826,0.57151,0.46157,1.08861,0.000321981,0.000321981,0.000321981
165,2955.48,0.32501,0.27017,0.9138,0.9501,0.89322,0.91172,0.78373,0.55788,0.48728,1.09227,0.000313729,0.000313729,0.000313729
166,2973.81,0.32929,0.27165,0.91646,0.94537,0.89475,0.92413,0.79811,0.56003,0.47717,1.09508,0.000305478,0.000305478,0.000305478
167,2992.62,0.32358,0.27067,0.91826,0.94033,0.89514,0.92569,0.78989,0.56599,0.45956,1.10244,0.000297226,0.000297226,0.000297226
168,3010.55,0.32593,0.26663,0.91696,0.94233,0.89362,0.92097,0.79953,0.55867,0.47641,1.09412,0.000288974,0.000288974,0.000288974
169,3029.57,0.32471,0.26312,0.91805,0.96323,0.88151,0.92114,0.79848,0.54988,0.45945,1.07879,0.000280723,0.000280723,0.000280723
170,3047.29,0.32156,0.26763,0.91411,0.95362,0.88203,0.91959,0.8005,0.53465,0.4498,1.07715,0.000272471,0.000272471,0.000272471
171,3066.11,0.31758,0.25897,0.9113,0.95403,0.86715,0.91537,0.80301,0.54365,0.45884,1.06804,0.00026422,0.00026422,0.00026422
172,3084.52,0.3213,0.26061,0.91185,0.92295,0.89907,0.91434,0.804,0.51376,0.43922,1.04919,0.000255968,0.000255968,0.000255968
173,3102.75,0.32811,0.2647,0.91947,0.94791,0.88625,0.91979,0.8014,0.5126,0.45979,1.03653,0.000247716,0.000247716,0.000247716
174,3121.72,0.32128,0.26248,0.91603,0.9276,0.90174,0.92739,0.80183,0.51368,0.44203,1.03843,0.000239465,0.000239465,0.000239465
175,3140.03,0.32593,0.26546,0.92122,0.94224,0.88265,0.91477,0.80315,0.52114,0.44466,1.03752,0.000231213,0.000231213,0.000231213
176,3158.77,0.31746,0.25741,0.91543,0.94184,0.89401,0.92132,0.79831,0.52493,0.46157,1.03699,0.000222961,0.000222961,0.000222961
177,3176.97,0.31421,0.25442,0.91349,0.9368,0.9014,0.92529,0.80142,0.51314,0.47262,1.03055,0.00021471,0.00021471,0.00021471
178,3195.26,0.31827,0.25415,0.91626,0.93947,0.89014,0.9142,0.8047,0.51676,0.4552,1.04059,0.000206458,0.000206458,0.000206458
